tid,name
3241,Criticism &amp; Curatorial Practice
3247,Cross-Disciplinary Art: Life Studies
3367,Design for Health (DHEA) (MDes)
3277,Drawing &amp; Painting
3433,English
3439,Entrepreneurship &amp; Social Innovation
3295,Graphic Design
3301,Illustration
3307,Indigenous Visual Culture
3463,Industrial Ceramics
3313,Industrial Design
3271,Integrated Media: Digital Painting and Expanded Animation
3331,Photography
3343,Sculpture/Installation
3481,Sustainability
3487,Wearable Technology
3235,Advertising
3397,Art &amp; Social Change
3403,Art History
3409,Communication Design
3355,"Contemporary Art, Design and New Media Art Histories (CADN) (MA)"
3241,Criticism &amp; Curatorial Practice
3247,Cross-Disciplinary Art: Life Studies
3259,Digital Futures
3277,Drawing &amp; Painting
3433,English
3289,Environmental Design: Interior Design Specialization
3457,Furniture Design
23868,Games and Play
3295,Graphic Design
3301,Illustration
3307,Indigenous Visual Culture
3463,Industrial Ceramics
3313,Industrial Design
3271,Integrated Media: Digital Painting and Expanded Animation
3337,Printmaking
3343,Sculpture/Installation
3487,Wearable Technology
3235,Advertising
3397,Art &amp; Social Change
3403,Art History
3409,Communication Design
3355,"Contemporary Art, Design and New Media Art Histories (CADN) (MA)"
3259,Digital Futures
3277,Drawing &amp; Painting
3265,Drawing &amp; Painting: Digital Painting and Expanded Animation
3433,English
3289,Environmental Design: Interior Design Specialization
3457,Furniture Design
23868,Games and Play
3295,Graphic Design
3301,Illustration
3307,Indigenous Visual Culture
3313,Industrial Design
3271,Integrated Media: Digital Painting and Expanded Animation
3325,Material Art &amp; Design
3337,Printmaking
3343,Sculpture/Installation
3391,Strategic Foresight and Innovation (SFI) (MDes)
3487,Wearable Technology
25250,"Indigenous Visual Culture [returning, admitted prior to 2020]"
3283,Environmental Design
3277,Drawing &amp; Painting
3241,Criticism &amp; Curatorial Practice
3301,Illustration
3295,Graphic Design
3277,Drawing &amp; Painting
3277,Drawing &amp; Painting
3283,Environmental Design
3319,Integrated Media
3331,Photography
3277,Drawing &amp; Painting
3283,Environmental Design
3331,Photography
3277,Drawing &amp; Painting
3241,Criticism &amp; Curatorial Practice
3241,Criticism &amp; Curatorial Practice
3301,Illustration
3313,Industrial Design
3343,Sculpture/Installation
3295,Graphic Design
3301,Illustration
3313,Industrial Design
3295,Graphic Design
3301,Illustration
3295,Graphic Design
3235,Advertising
3235,Advertising
3325,Material Art &amp; Design
25248,"Graphic Design [returning, admitted prior to 2020]"
25247,"Digital Futures [returning, admitted prior to 2020]"
25246,"Creative Writing [returning, admitted prior to 2020]"
